timestamp,current,energy,power
1401637315000.0,1.2000004272077216e-17,2122005.25,1.2000004272077216e-17
1401637345000.0,3.893299818038941,2122014.75,2083.387939453125
1401637375000.0,3.861473560333252,2122032.0,2064.580810546875
1401637406000.0,3.906557559967041,2122049.25,2093.967041015625
1401637436000.0,3.892557382583618,2122066.5,2087.66357421875
1401637466000.0,3.84750771522522,2122083.75,2049.677001953125
1401637496000.0,3.869293451309204,2122101.0,2040.7286376953125
1401637526000.0,3.920344114303589,2122118.5,2094.855712890625
1401637556000.0,3.874297380447388,2122136.25,2059.40087890625
1401637586000.0,3.856611251831055,2122153.75,2041.1292724609373
1401637616000.0,3.913764476776123,2122171.0,2080.953369140625
1401637647000.0,3.972068071365357,2122188.25,2089.70068359375
1401637677000.0,3.932863235473633,2122205.5,2101.40673828125
1401637707000.0,3.862056016921997,2122223.0,2037.8929443359373
1401637737000.0,3.861992120742798,2122240.25,2041.845947265625
1401637767000.0,3.887093305587769,2122258.0,2051.34619140625
1401637797000.0,3.8886232376098633,2122275.25,2056.9775390625
1401637827000.0,3.90914535522461,2122292.5,2079.164306640625
1401637857000.0,3.9013283252716064,2122310.0,2069.80322265625
1401637887000.0,3.9186761379241934,2122327.25,2078.898681640625
1401637917000.0,3.8906195163726807,2122344.5,2074.62109375
1401637947000.0,3.921257495880127,2122361.75,2092.956298828125
1401637977000.0,3.906944751739502,2122379.0,2080.37646484375
1401638007000.0,3.861264705657959,2122396.5,2042.5384521484373
1401638037000.0,3.9101109504699703,2122413.75,2079.383056640625
1401638067000.0,3.911416292190552,2122431.0,2080.48193359375
1401638098000.0,3.905555009841919,2122448.25,2072.783935546875
1401638128000.0,3.926297426223755,2122465.5,2079.119384765625
1401638158000.0,3.9298312664031982,2122483.0,2086.969970703125
1401638188000.0,3.9195165634155273,2122500.25,2078.174072265625
1401638218000.0,3.9146888256073,2122517.75,2088.1552734375
1401638248000.0,3.951215982437134,2122535.0,2093.56884765625
1401638278000.0,3.9103057384490967,2122552.25,2077.95849609375
1401638308000.0,3.908764123916626,2122569.75,2051.967041015625
1401638338000.0,3.9119749069213863,2122587.0,2064.2099609375
1401638368000.0,3.902744054794312,2122604.25,2061.44921875
1401638398000.0,3.926744222640991,2122621.5,2079.638671875
1401638428000.0,3.914067029953003,2122639.0,2078.171630859375
1401638458000.0,3.942370653152466,2122657.0,2085.492431640625
1401638488000.0,3.977257013320923,2122674.5,2115.302001953125
1401638518000.0,3.9527766704559326,2122692.0,2101.59326171875
1401638548000.0,3.958996534347534,2122709.5,2096.019775390625
1401638578000.0,3.982069492340088,2122727.0,2108.6748046875
1401638608000.0,3.952282428741455,2122744.5,2098.620361328125
1401638638000.0,3.9654948711395264,2122762.0,2098.494384765625
1401638669000.0,3.961150884628296,2122779.5,2098.1689453125
1401638699000.0,3.968679904937744,2122797.0,2099.255859375
1401638729000.0,3.9596080780029297,2122814.5,2095.0703125
1401638759000.0,3.968061685562134,2122832.0,2102.865966796875
1401638789000.0,3.9526002407073975,2122849.5,2092.848876953125
1401638819000.0,3.97248649597168,2122867.0,2113.159423828125
1401638849000.0,3.9707202911376953,2122884.5,2109.500732421875
1401638879000.0,3.972745180130005,2122902.0,2101.72265625
1401638909000.0,3.9701344966888423,2122919.5,2100.09765625
1401638939000.0,3.9631600379943848,2122937.5,2095.580810546875
1401638969000.0,3.9622223377227774,2122955.0,2095.191162109375
1401638999000.0,3.9773972034454346,2122972.5,2104.57421875
1401639029000.0,3.96618914604187,2122990.0,2102.89599609375
1401639059000.0,3.9549660682678223,2123007.5,2095.905517578125
1401639089000.0,3.967059135437012,2123025.0,2100.150146484375
1401639120000.0,3.976780652999878,2123042.5,2106.66796875
1401639150000.0,3.9766786098480233,2123060.0,2109.92138671875
1401678269000.0,1.2000004272077216e-17,2123074.75,1.2000004272077216e-17
1401678299000.0,4.424927711486816,2123087.25,2398.52978515625
1401678329000.0,4.435383319854736,2123107.25,2402.939697265625
1401678359000.0,4.436610698699951,2123127.25,2402.30322265625
1401678389000.0,4.458459854125977,2123147.25,2414.000732421875
1401678419000.0,4.4585957527160645,2123167.25,2419.893798828125
1401678449000.0,4.463558673858643,2123187.25,2415.447265625
1401678479000.0,4.45020055770874,2123207.5,2397.171875
1401678509000.0,4.51592493057251,2123227.5,2428.360107421875
1401678540000.0,4.489841461181641,2123247.75,2399.772705078125
1401678570000.0,4.522250652313232,2123267.75,2403.8408203125
1401678600000.0,4.458041191101074,2123288.0,2379.482177734375
1401678630000.0,4.537876605987549,2123308.0,2442.863525390625
1401678660000.0,4.52676248550415,2123328.25,2394.949951171875
1401678690000.0,4.50301456451416,2123348.25,2406.74462890625
1401678720000.0,4.5485453605651855,2123369.25,2430.572509765625
1401678750000.0,4.493829250335693,2123389.25,2397.0458984375
1401678780000.0,4.517538547515869,2123409.5,2404.46533203125
1401678810000.0,4.5399580001831055,2123429.5,2415.95703125
1401678840000.0,4.515339374542236,2123449.75,2417.271728515625
1401678870000.0,4.486697196960449,2123469.75,2415.55517578125
1401678900000.0,4.4771575927734375,2123490.0,2419.125
1401678930000.0,4.486893177032471,2123510.25,2423.22119140625
1401678960000.0,4.491989135742188,2123530.25,2417.443115234375
1401678990000.0,4.470724105834961,2123550.5,2407.892578125
1401679021000.0,4.46438455581665,2123570.75,2400.406982421875
1401679051000.0,4.517715930938721,2123590.75,2441.8115234375
1401679081000.0,4.470344543457031,2123611.0,2411.732421875
1401679111000.0,4.49934196472168,2123631.25,2429.51318359375
1401679141000.0,4.466801166534424,2123651.25,2405.638671875
